iban,date,amount,currency,category,description
DE89370400440532013000,2023-10-16,-52.53,EUR,transport,"Deutsche Bahn"
DE36200400300014000000,2024-05-13,-1077.94,EUR,travel,"Lufthansa"
IT60X0542811101000000123456,2024-05-21,-298.3,EUR,healthcare,"Arztpraxis"
GB29NWBK60161331926819,2024-01-17,-176.82,GBP,utilities,"Gas Rechnung"
DE36200400300014000000,2023-05-28,-95.03,EUR,utilities,"EDF Energy"
ES9121000418450200051332,2023-01-30,-104.67,EUR,utilities,"BT Broadband"
FR7630006000011234567890189,2023-07-24,-109.78,EUR,groceries,"Aldi"
DE36200400300014000000,2024-09-01,-235.19,EUR,utilities,"BT Broadband"
NL91ABNA0417164300,2023-08-30,-398.49,EUR,travel,"easyJet"
GB29NWBK60161331926819,2024-04-03,4549.17,GBP,salary,"Consulting Fee"
DE75512108001245126199,2023-02-21,-141.07,EUR,utilities,"BT Broadband"
GB82WEST12345698765432,2023-06-14,-36.72,GBP,restaurants,"Restaurant Milano"
FR7630006000011234567890189,2023-09-01,-88.23,EUR,transport,"BVG Ticket"
DE75512108001245126199,2023-01-13,1677.53,EUR,salary,"Consulting Fee"
GB82WEST12345698765432,2024-05-16,-175.75,GBP,transport,"Flixbus"
DE36200400300014000000,2023-10-18,-465.46,EUR,travel,"Hotel Reservation"
DE75512108001245126199,2023-09-14,3949.98,EUR,salary,"Gehalt"
FR7614508590000000034317,2023-02-27,-291.32,EUR,healthcare,"Fitnessstudio"
FR7614508590000000034317,2024-08-04,-327.95,EUR,shopping,"John Lewis"
IT60X0542811101000000123456,2024-06-25,-5.63,EUR,transport,"BVG Ticket"
GB82WEST12345698765432,2023-09-13,-70.57,GBP,transport,"TfL Oyster"
FR7614508590000000034317,2023-10-25,-45.09,EUR,groceries,"Tesco"
FR7614508590000000034317,2024-05-30,-288.19,EUR,healthcare,"Arztpraxis"
ES9121000418450200051332,2024-12-13,-119.96,EUR,utilities,"Gas Rechnung"
FR7614508590000000034317,2023-01-21,-1032.12,EUR,travel,"Airbnb"
FR7630006000011234567890189,2024-11-25,-100.39,EUR,groceries,"Aldi"
DE75512108001245126199,2024-05-21,-60.64,EUR,entertainment,"Odeon Cinema"
DE75512108001245126199,2023-02-14,-123.17,EUR,groceries,"Tesco"
NL91ABNA0417164300,2023-12-21,-152.49,EUR,transport,"Flixbus"
DE75512108001245126199,2024-11-18,-6.36,EUR,transport,"Taxi"
DE89370400440532013000,2024-06-30,-289.07,EUR,healthcare,"Fitnessstudio"
FR7614508590000000034317,2023-12-06,-215.21,EUR,healthcare,"Fitnessstudio"
NL91ABNA0417164300,2023-03-19,-191.01,EUR,healthcare,"Apotheke"
NL91ABNA0417164300,2023-04-14,-228.86,EUR,travel,"easyJet"
DE36200400300014000000,2024-08-01,1951.81,EUR,salary,"Salary"
GB29NWBK60161331926819,2024-09-16,-32.55,GBP,restaurants,"Nandos"
NL91ABNA0417164300,2024-10-21,-2283.42,EUR,rent,"Nebenkosten"
FR7630006000011234567890189,2024-02-03,-138.62,EUR,transport,"Uber"
FR7614508590000000034317,2024-12-01,-24.26,EUR,groceries,"ASDA"
IT60X0542811101000000123456,2024-10-01,-96.82,EUR,restaurants,"Wagamama"
ES9121000418450200051332,2024-07-11,2368.21,EUR,salary,"Consulting Fee"
DE75512108001245126199,2023-03-10,-159.13,EUR,travel,"Hotel Reservation"
DE75512108001245126199,2023-05-19,-244.41,EUR,shopping,"Amazon"
DE75512108001245126199,2023-05-20,-2226.22,EUR,rent,"Rent"
FR7630006000011234567890189,2023-07-13,-48.15,EUR,utilities,"BT Broadband"
NL91ABNA0417164300,2023-07-28,-2475.15,EUR,rent,"WG Anteil"
IT60X0542811101000000123456,2024-03-09,-1091.22,EUR,rent,"Nebenkosten"
DE75512108001245126199,2024-05-23,2309.9,EUR,salary,"Gehalt"
DE89370400440532013000,2024-08-12,3274.41,EUR,salary,"Gehalt"
ES9121000418450200051332,2023-08-06,-1023.61,EUR,travel,"British Airways"
GB82WEST12345698765432,2023-12-11,-95.49,GBP,restaurants,"Nandos"
FR7630006000011234567890189,2024-03-24,-132.91,EUR,groceries,"ASDA"
FR7614508590000000034317,2023-05-06,-308.8,EUR,travel,"easyJet"
IT60X0542811101000000123456,2024-01-15,-34.37,EUR,restaurants,"Pret a Manger"
DE75512108001245126199,2024-05-09,-106.71,EUR,restaurants,"Restaurant Milano"
IT60X0542811101000000123456,2024-01-01,-24.28,EUR,restaurants,"Burger King"
FR7630006000011234567890189,2023-04-07,-116.22,EUR,utilities,"BT Broadband"
GB29NWBK60161331926819,2023-01-12,-347.64,GBP,shopping,"Zalando"
DE89370400440532013000,2024-09-07,-6.4,EUR,entertainment,"Spotify"
ES9121000418450200051332,2023-03-26,-14.44,EUR,entertainment,"Spotify"
FR7630006000011234567890189,2024-12-18,-216.59,EUR,utilities,"Internet DSL"
DE36200400300014000000,2023-07-27,-267.9,EUR,shopping,"Zalando"
FR7630006000011234567890189,2024-02-10,4594.42,EUR,salary,"Gehalt"
DE89370400440532013000,2023-03-18,-1756.52,EUR,rent,"Council Tax"
DE89370400440532013000,2023-10-10,-123.72,EUR,transport,"Deutsche Bahn"
DE89370400440532013000,2023-06-21,-27.94,EUR,groceries,"Sainsbury"
IT60X0542811101000000123456,2024-01-15,-2281.46,EUR,rent,"Rent"
NL91ABNA0417164300,2023-12-22,-2127.26,EUR,rent,"Rent"
NL91ABNA0417164300,2023-11-25,4412.84,EUR,salary,"Consulting Fee"
NL91ABNA0417164300,2024-02-14,3453.75,EUR,salary,"Honorar"
DE75512108001245126199,2023-08-04,-1965.65,EUR,rent,"Council Tax"
DE89370400440532013000,2024-04-16,-296.5,EUR,shopping,"John Lewis"
DE36200400300014000000,2023-08-24,-152.25,EUR,transport,"Taxi"
DE36200400300014000000,2024-07-15,-736.85,EUR,travel,"Hotel Reservation"
IT60X0542811101000000123456,2024-12-05,3577.64,EUR,salary,"Freelance Rechnung"
GB29NWBK60161331926819,2024-10-18,-2088.07,GBP,rent,"Council Tax"
DE36200400300014000000,2024-01-30,-200.42,EUR,utilities,"EDF Energy"
IT60X0542811101000000123456,2023-08-18,-72.8,EUR,utilities,"BT Broadband"
GB82WEST12345698765432,2024-08-13,-674.24,GBP,travel,"easyJet"
GB29NWBK60161331926819,2024-01-23,-193.06,GBP,utilities,"Gas Rechnung"
GB82WEST12345698765432,2024-03-07,-65.52,GBP,restaurants,"Restaurant Milano"
ES9121000418450200051332,2023-05-02,-99.6,EUR,healthcare,"Arztpraxis"
IT60X0542811101000000123456,2023-05-23,-41.82,EUR,restaurants,"Pret a Manger"
GB82WEST12345698765432,2023-11-21,-75.33,GBP,transport,"TfL Oyster"
FR7614508590000000034317,2023-04-02,-67.51,EUR,restaurants,"Restaurant Milano"
FR7630006000011234567890189,2024-01-23,-78.28,EUR,groceries,"Sainsbury"
ES9121000418450200051332,2023-11-07,3404.27,EUR,salary,"Freelance Rechnung"
FR7614508590000000034317,2024-07-31,-129.32,EUR,shopping,"Amazon"
DE75512108001245126199,2023-08-31,4022.04,EUR,salary,"Consulting Fee"
DE75512108001245126199,2023-08-18,-35.4,EUR,restaurants,"McDonalds"
GB29NWBK60161331926819,2023-07-07,-323.45,GBP,shopping,"IKEA"
NL91ABNA0417164300,2024-03-14,3330.37,EUR,salary,"Salary"
DE36200400300014000000,2023-02-03,-604.15,EUR,travel,"Airbnb"
FR7630006000011234567890189,2023-05-14,2014.57,EUR,salary,"Freelance Rechnung"
FR7630006000011234567890189,2023-03-13,4870.46,EUR,salary,"Freelance Rechnung"
DE89370400440532013000,2024-07-04,-42.21,EUR,entertainment,"Steam"
ES9121000418450200051332,2024-06-17,-199.94,EUR,utilities,"BT Broadband"
GB82WEST12345698765432,2024-03-20,-222.11,GBP,shopping,"ASOS"
GB82WEST12345698765432,2023-03-25,-87.94,GBP,transport,"Deutsche Bahn"
IT60X0542811101000000123456,2023-05-18,-1570.07,EUR,rent,"Council Tax"
DE36200400300014000000,2023-08-01,-246.9,EUR,utilities,"Stadtwerke Strom"
NL91ABNA0417164300,2024-03-21,-54.29,EUR,shopping,"H&M"
DE36200400300014000000,2023-10-23,-482.91,EUR,shopping,"ASOS"
IT60X0542811101000000123456,2024-10-22,-219.13,EUR,utilities,"Gas Rechnung"
ES9121000418450200051332,2024-12-20,-36.22,EUR,groceries,"Aldi"
ES9121000418450200051332,2024-11-15,-84.61,EUR,restaurants,"Wagamama"
IT60X0542811101000000123456,2024-05-07,-681.63,EUR,rent,"Miete"
FR7630006000011234567890189,2024-05-03,-11.55,EUR,transport,"Flixbus"
NL91ABNA0417164300,2024-02-07,-142.38,EUR,utilities,"BT Broadband"
NL91ABNA0417164300,2023-06-07,-108.39,EUR,groceries,"Kaufland"
DE36200400300014000000,2023-03-07,-39.99,EUR,entertainment,"Steam"
FR7614508590000000034317,2023-01-13,-87.71,EUR,groceries,"ASDA"
FR7614508590000000034317,2024-11-05,3028.9,EUR,salary,"Gehalt"
FR7630006000011234567890189,2023-03-03,-696.17,EUR,travel,"Hotel Reservation"
FR7614508590000000034317,2024-10-01,-170.84,EUR,utilities,"EDF Energy"
ES9121000418450200051332,2023-11-28,-89.65,EUR,restaurants,"Pret a Manger"
GB82WEST12345698765432,2023-09-16,-123.02,GBP,transport,"National Rail"
DE75512108001245126199,2023-07-09,-317.42,EUR,travel,"Hotel Reservation"
FR7614508590000000034317,2024-12-09,-10.4,EUR,transport,"Deutsche Bahn"
ES9121000418450200051332,2024-04-03,4188.35,EUR,salary,"Honorar"
DE36200400300014000000,2023-01-18,-285.67,EUR,travel,"Lufthansa"
FR7630006000011234567890189,2024-04-24,-48.76,EUR,utilities,"Internet DSL"
DE36200400300014000000,2023-02-19,-682.09,EUR,rent,"Nebenkosten"
FR7630006000011234567890189,2024-04-16,-122.81,EUR,utilities,"British Gas"
DE89370400440532013000,2024-09-20,-250.34,EUR,shopping,"Zalando"
GB29NWBK60161331926819,2024-04-30,-497.13,GBP,shopping,"ASOS"
IT60X0542811101000000123456,2024-10-25,-73.18,EUR,restaurants,"Nandos"
IT60X0542811101000000123456,2023-01-26,-144.31,EUR,healthcare,"Arztpraxis"
GB29NWBK60161331926819,2024-10-18,-1146.16,GBP,rent,"Rent"
IT60X0542811101000000123456,2024-06-07,3038.27,EUR,salary,"Consulting Fee"
DE89370400440532013000,2024-01-06,4758.02,EUR,salary,"Gehalt"
GB29NWBK60161331926819,2023-10-27,-143.73,GBP,groceries,"Sainsbury"
IT60X0542811101000000123456,2023-12-12,2098.46,EUR,salary,"Salary"
GB82WEST12345698765432,2024-10-16,-464.28,GBP,shopping,"ASOS"
FR7614508590000000034317,2023-07-27,2723.3,EUR,salary,"Freelance Rechnung"
GB29NWBK60161331926819,2024-04-18,-452.95,GBP,shopping,"MediaMarkt"
IT60X0542811101000000123456,2024-01-05,-42.82,EUR,restaurants,"Restaurant Milano"
FR7614508590000000034317,2023-09-07,-421.41,EUR,shopping,"Zalando"
GB29NWBK60161331926819,2023-12-23,-428.18,GBP,shopping,"ASOS"
NL91ABNA0417164300,2023-10-14,-464.56,EUR,shopping,"MediaMarkt"
FR7614508590000000034317,2023-08-09,-14.57,EUR,transport,"Taxi"
GB29NWBK60161331926819,2024-12-16,-3.56,GBP,transport,"Flixbus"
NL91ABNA0417164300,2024-11-13,2589.06,EUR,salary,"Gehalt"
FR7614508590000000034317,2024-06-04,-127.18,EUR,groceries,"Lidl"
GB82WEST12345698765432,2024-07-02,-125.87,GBP,transport,"Taxi"
IT60X0542811101000000123456,2024-02-04,-805.47,EUR,rent,"Rent"
ES9121000418450200051332,2024-12-01,4417.25,EUR,salary,"Consulting Fee"
IT60X0542811101000000123456,2024-01-17,-78.61,EUR,utilities,"EDF Energy"
DE89370400440532013000,2023-08-09,-58.63,EUR,restaurants,"Restaurant Milano"
ES9121000418450200051332,2024-05-05,2859.1,EUR,salary,"Salary"
IT60X0542811101000000123456,2023-10-02,-314.27,EUR,shopping,"IKEA"
GB82WEST12345698765432,2023-06-08,-33.71,GBP,entertainment,"Spotify"
FR7630006000011234567890189,2023-11-12,-220.88,EUR,shopping,"Zalando"
DE36200400300014000000,2024-01-14,-86.41,EUR,healthcare,"Apotheke"
ES9121000418450200051332,2024-11-13,-24.17,EUR,entertainment,"Odeon Cinema"
DE36200400300014000000,2023-05-13,-115.58,EUR,transport,"Uber"
IT60X0542811101000000123456,2023-06-01,-51.77,EUR,transport,"Taxi"
GB29NWBK60161331926819,2023-10-04,-387.8,GBP,shopping,"H&M"
ES9121000418450200051332,2023-12-02,-174.67,EUR,shopping,"H&M"
FR7630006000011234567890189,2024-02-03,-297.62,EUR,shopping,"John Lewis"
NL91ABNA0417164300,2023-01-12,2103.87,EUR,salary,"Freelance Rechnung"
ES9121000418450200051332,2024-10-30,-131.3,EUR,transport,"TfL Oyster"
DE36200400300014000000,2024-01-31,-186.24,EUR,healthcare,"Arztpraxis"
IT60X0542811101000000123456,2023-10-06,-1224.01,EUR,travel,"easyJet"
IT60X0542811101000000123456,2024-01-20,-54.25,EUR,restaurants,"Wagamama"
DE89370400440532013000,2023-04-07,-271.55,EUR,healthcare,"Boots Pharmacy"
DE89370400440532013000,2023-11-10,-32.03,EUR,restaurants,"McDonalds"
ES9121000418450200051332,2024-07-12,2448.14,EUR,salary,"Honorar"
DE89370400440532013000,2024-07-30,-143,EUR,healthcare,"Fitnessstudio"
DE89370400440532013000,2024-08-01,-362.67,EUR,shopping,"IKEA"
FR7614508590000000034317,2024-05-05,-322.21,EUR,shopping,"John Lewis"
FR7630006000011234567890189,2024-01-03,-69.05,EUR,shopping,"H&M"
DE36200400300014000000,2024-02-06,-861.25,EUR,travel,"Airbnb"
IT60X0542811101000000123456,2024-11-03,3490.82,EUR,salary,"Freelance Rechnung"
ES9121000418450200051332,2023-08-07,-9.89,EUR,entertainment,"Cinema Ticket"
FR7614508590000000034317,2023-10-11,-108.58,EUR,groceries,"Aldi"
DE89370400440532013000,2023-07-24,-124.12,EUR,groceries,"Tesco"
GB82WEST12345698765432,2024-12-16,-352.47,GBP,shopping,"H&M"
DE36200400300014000000,2023-04-24,-45.33,EUR,restaurants,"McDonalds"
DE89370400440532013000,2024-12-14,-190.71,EUR,healthcare,"Arztpraxis"
NL91ABNA0417164300,2024-03-11,4740.54,EUR,salary,"Honorar"
IT60X0542811101000000123456,2024-12-08,-25.27,EUR,entertainment,"Odeon Cinema"
GB82WEST12345698765432,2023-01-15,-114.58,GBP,utilities,"BT Broadband"
ES9121000418450200051332,2024-10-10,-31.93,EUR,shopping,"Zalando"
DE89370400440532013000,2023-04-25,-292.67,EUR,travel,"easyJet"
DE89370400440532013000,2023-11-06,-224.38,EUR,utilities,"British Gas"
DE36200400300014000000,2024-11-29,1735.05,EUR,salary,"Gehalt"
GB82WEST12345698765432,2024-12-06,-36.37,GBP,shopping,"Amazon"
FR7630006000011234567890189,2024-02-10,-120.36,EUR,utilities,"Stadtwerke Strom"
DE36200400300014000000,2023-04-15,-27.46,EUR,entertainment,"Odeon Cinema"
FR7614508590000000034317,2024-03-28,-491.68,EUR,travel,"British Airways"
IT60X0542811101000000123456,2024-02-26,-215.58,EUR,healthcare,"Arztpraxis"
FR7614508590000000034317,2023-07-13,-64.98,EUR,entertainment,"Cinema Ticket"
DE36200400300014000000,2023-08-17,-191.12,EUR,healthcare,"Arztpraxis"
DE89370400440532013000,2024-09-07,-1215.08,EUR,travel,"Lufthansa"
GB29NWBK60161331926819,2024-01-17,2786.98,GBP,salary,"Freelance Rechnung"
DE36200400300014000000,2024-01-17,-1420.5,EUR,travel,"Booking.com"
IT60X0542811101000000123456,2023-04-06,-50.09,EUR,shopping,"John Lewis"
GB82WEST12345698765432,2024-08-28,-12.38,GBP,transport,"Taxi"
NL91ABNA0417164300,2024-08-28,-480.26,EUR,shopping,"ASOS"
NL91ABNA0417164300,2024-11-09,-210.95,EUR,shopping,"John Lewis"
IT60X0542811101000000123456,2023-04-23,-347.35,EUR,travel,"Booking.com"
GB82WEST12345698765432,2023-08-02,2379.81,GBP,salary,"Salary"
DE75512108001245126199,2023-09-26,-75.28,EUR,restaurants,"Burger King"
FR7614508590000000034317,2024-10-14,-34.16,EUR,entertainment,"Spotify"
IT60X0542811101000000123456,2024-11-29,-53.19,EUR,entertainment,"Cinema Ticket"
DE36200400300014000000,2024-11-20,-105.22,EUR,healthcare,"Boots Pharmacy"
DE75512108001245126199,2024-01-23,-99.75,EUR,transport,"TfL Oyster"
FR7614508590000000034317,2024-04-23,-228.85,EUR,shopping,"MediaMarkt"
ES9121000418450200051332,2023-12-03,-234.35,EUR,travel,"Booking.com"
DE89370400440532013000,2024-08-28,-90.59,EUR,groceries,"ASDA"
IT60X0542811101000000123456,2024-01-17,-624.08,EUR,travel,"British Airways"
DE36200400300014000000,2024-04-07,-83.08,EUR,utilities,"Gas Rechnung"
FR7614508590000000034317,2023-02-28,-154.84,EUR,transport,"Taxi"
DE75512108001245126199,2024-05-10,-74.53,EUR,groceries,"Lidl"
IT60X0542811101000000123456,2023-08-04,-242.49,EUR,utilities,"Gas Rechnung"
ES9121000418450200051332,2024-03-02,-216.37,EUR,utilities,"British Gas"
IT60X0542811101000000123456,2023-03-21,4524.26,EUR,salary,"Honorar"
DE36200400300014000000,2023-07-28,-225.92,EUR,utilities,"British Gas"
FR7614508590000000034317,2024-10-25,-48.21,EUR,utilities,"Stadtwerke Strom"
FR7630006000011234567890189,2023-01-24,-65.19,EUR,transport,"TfL Oyster"
DE89370400440532013000,2024-10-10,-75.1,EUR,healthcare,"Apotheke"
GB29NWBK60161331926819,2024-01-01,-51.26,GBP,restaurants,"Nandos"
DE89370400440532013000,2024-06-15,-50.13,EUR,restaurants,"Pret a Manger"
FR7630006000011234567890189,2023-09-10,-17.72,EUR,restaurants,"McDonalds"
IT60X0542811101000000123456,2023-01-06,-1358.6,EUR,travel,"Airbnb"
GB82WEST12345698765432,2024-09-20,-691.43,GBP,rent,"Miete"
IT60X0542811101000000123456,2023-08-18,-185.04,EUR,healthcare,"Arztpraxis"
FR7630006000011234567890189,2023-10-28,-191.87,EUR,transport,"National Rail"
GB82WEST12345698765432,2024-12-20,4911.85,GBP,salary,"Salary"
DE36200400300014000000,2023-03-07,-516.28,EUR,travel,"Booking.com"
IT60X0542811101000000123456,2023-06-07,-1251.87,EUR,travel,"Hotel Reservation"
GB82WEST12345698765432,2024-07-29,-103.42,GBP,transport,"BVG Ticket"
ES9121000418450200051332,2023-04-29,-112.05,EUR,restaurants,"Nandos"
FR7614508590000000034317,2024-01-18,-7.2,EUR,entertainment,"Netflix"
GB82WEST12345698765432,2023-08-07,-1389.99,GBP,rent,"Council Tax"
DE75512108001245126199,2023-08-22,-171.17,EUR,travel,"Booking.com"
DE36200400300014000000,2024-10-19,-9.31,EUR,entertainment,"Cinema Ticket"
GB29NWBK60161331926819,2024-04-13,3077.13,GBP,salary,"Salary"
GB29NWBK60161331926819,2024-04-27,-1973.88,GBP,rent,"Council Tax"
DE89370400440532013000,2024-05-22,-195.21,EUR,transport,"Uber"
NL91ABNA0417164300,2024-11-05,-66.49,EUR,healthcare,"Boots Pharmacy"
DE36200400300014000000,2024-10-13,-79.08,EUR,healthcare,"Fitnessstudio"
IT60X0542811101000000123456,2024-01-26,-33.96,EUR,transport,"BVG Ticket"
GB29NWBK60161331926819,2023-02-20,-20.25,GBP,restaurants,"Burger King"
IT60X0542811101000000123456,2023-04-03,-48.26,EUR,healthcare,"Fitnessstudio"
ES9121000418450200051332,2024-11-23,-184.01,EUR,healthcare,"NHS Prescription"
GB82WEST12345698765432,2023-02-01,-93.1,GBP,groceries,"Tesco"
DE75512108001245126199,2023-09-21,-1004.41,EUR,rent,"Council Tax"
ES9121000418450200051332,2024-11-16,4702.75,EUR,salary,"Gehalt"
DE89370400440532013000,2023-08-26,-14.08,EUR,restaurants,"Nandos"
GB29NWBK60161331926819,2023-01-22,-139.4,GBP,utilities,"British Gas"
ES9121000418450200051332,2024-03-12,-96.93,EUR,travel,"easyJet"
FR7614508590000000034317,2023-01-12,-1103.01,EUR,rent,"WG Anteil"
FR7614508590000000034317,2024-01-07,-141.7,EUR,transport,"Taxi"
IT60X0542811101000000123456,2024-07-27,4903.94,EUR,salary,"Freelance Rechnung"
DE75512108001245126199,2023-09-13,-44.29,EUR,healthcare,"Apotheke"
GB29NWBK60161331926819,2023-04-17,-57.58,GBP,entertainment,"Theater"
DE89370400440532013000,2023-03-13,1628.75,EUR,salary,"Gehalt"
GB82WEST12345698765432,2024-10-15,-15.73,GBP,entertainment,"Steam"
ES9121000418450200051332,2023-02-24,-106.34,EUR,utilities,"Gas Rechnung"
FR7614508590000000034317,2023-02-07,-139.61,EUR,transport,"TfL Oyster"
IT60X0542811101000000123456,2024-08-06,-205.18,EUR,healthcare,"Arztpraxis"
GB29NWBK60161331926819,2023-01-13,-229.3,GBP,utilities,"British Gas"
DE89370400440532013000,2023-04-19,-188.58,EUR,shopping,"John Lewis"
NL91ABNA0417164300,2023-10-07,4044.83,EUR,salary,"Consulting Fee"
IT60X0542811101000000123456,2024-09-26,-51.24,EUR,utilities,"Stadtwerke Strom"
GB82WEST12345698765432,2024-02-23,-74.55,GBP,entertainment,"Steam"
NL91ABNA0417164300,2024-03-27,-199.51,EUR,shopping,"MediaMarkt"
GB29NWBK60161331926819,2023-07-14,2476,GBP,salary,"Consulting Fee"
IT60X0542811101000000123456,2023-07-28,-148.11,EUR,transport,"Taxi"
IT60X0542811101000000123456,2023-03-07,-1102.41,EUR,rent,"WG Anteil"
GB29NWBK60161331926819,2023-12-02,-611.41,GBP,travel,"Lufthansa"
GB29NWBK60161331926819,2023-05-11,-242.45,GBP,shopping,"Amazon"
GB82WEST12345698765432,2024-03-30,4015.26,GBP,salary,"Salary"
FR7614508590000000034317,2024-07-16,-21.42,EUR,healthcare,"Arztpraxis"
ES9121000418450200051332,2023-10-29,-149.26,EUR,utilities,"British Gas"
DE36200400300014000000,2024-01-23,-33.37,EUR,healthcare,"NHS Prescription"
DE89370400440532013000,2024-01-27,-574.33,EUR,travel,"Booking.com"
ES9121000418450200051332,2023-03-05,-244.65,EUR,utilities,"Gas Rechnung"
FR7630006000011234567890189,2023-01-23,-93.01,EUR,transport,"Deutsche Bahn"
GB82WEST12345698765432,2023-07-28,-1356.24,GBP,rent,"Nebenkosten"
ES9121000418450200051332,2023-08-04,-193.58,EUR,healthcare,"Apotheke"
DE36200400300014000000,2024-11-23,2058.91,EUR,salary,"Freelance Rechnung"
FR7614508590000000034317,2024-11-14,-362.01,EUR,travel,"Booking.com"
IT60X0542811101000000123456,2024-10-10,-117.18,EUR,healthcare,"Boots Pharmacy"
NL91ABNA0417164300,2023-05-26,-58.97,EUR,groceries,"Kaufland"
FR7614508590000000034317,2024-09-24,-50.88,EUR,groceries,"Tesco"
DE36200400300014000000,2023-07-16,3886.63,EUR,salary,"Honorar"
IT60X0542811101000000123456,2023-09-01,-70.32,EUR,entertainment,"Cinema Ticket"
FR7630006000011234567890189,2023-08-10,-83.26,EUR,restaurants,"McDonalds"
IT60X0542811101000000123456,2024-09-06,-138,EUR,utilities,"BT Broadband"
DE75512108001245126199,2024-10-17,-23.78,EUR,entertainment,"Netflix"
DE36200400300014000000,2023-05-21,-148.54,EUR,transport,"Uber"
GB82WEST12345698765432,2024-09-04,-60.84,GBP,entertainment,"Netflix"
FR7614508590000000034317,2024-06-30,-75.15,EUR,groceries,"ASDA"
IT60X0542811101000000123456,2024-09-27,-1017.48,EUR,travel,"easyJet"
FR7630006000011234567890189,2023-07-13,-42.12,EUR,entertainment,"Cinema Ticket"
GB82WEST12345698765432,2024-01-24,-400.82,GBP,travel,"Airbnb"
IT60X0542811101000000123456,2024-05-14,-60.95,EUR,entertainment,"Cinema Ticket"
ES9121000418450200051332,2023-02-12,-31.74,EUR,entertainment,"Netflix"
DE75512108001245126199,2024-10-11,-31.01,EUR,transport,"Flixbus"
DE89370400440532013000,2023-12-19,-426.85,EUR,shopping,"John Lewis"
FR7614508590000000034317,2024-05-17,-1308.56,EUR,rent,"Nebenkosten"
NL91ABNA0417164300,2023-05-23,-18.76,EUR,restaurants,"Restaurant Milano"
NL91ABNA0417164300,2024-03-25,-52.1,EUR,restaurants,"Wagamama"
NL91ABNA0417164300,2023-06-25,2764.35,EUR,salary,"Honorar"
NL91ABNA0417164300,2024-12-15,-30.87,EUR,transport,"National Rail"
FR7614508590000000034317,2023-11-16,-79.05,EUR,entertainment,"Spotify"
NL91ABNA0417164300,2024-11-25,-583.16,EUR,travel,"Airbnb"
GB29NWBK60161331926819,2024-04-13,-96.29,GBP,utilities,"Internet DSL"
ES9121000418450200051332,2024-04-08,4781.29,EUR,salary,"Gehalt"
NL91ABNA0417164300,2023-01-05,-298.28,EUR,healthcare,"Fitnessstudio"
DE36200400300014000000,2023-01-29,-1710.75,EUR,rent,"Council Tax"
FR7630006000011234567890189,2023-05-07,-254.99,EUR,healthcare,"Arztpraxis"
FR7614508590000000034317,2024-08-27,-210.71,EUR,healthcare,"Boots Pharmacy"
DE36200400300014000000,2023-06-19,-97.68,EUR,transport,"National Rail"
NL91ABNA0417164300,2024-11-17,-36.35,EUR,utilities,"EDF Energy"
IT60X0542811101000000123456,2023-11-20,2988.96,EUR,salary,"Consulting Fee"
